name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,2
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 128 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,2
GeForce2 Go 100,NV11B,"Feb 6th, 2001",AGP 4x,"16 MB, DDR, 32 bit",125 MHz,166 MHz,2 / 0 / 4 / 2,2
GeForce2 Go 200,NV11B,"Feb 6th, 2001",AGP 4x,"32 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2,2
NV1,NV1,"Sep 30th, 1995",PCI,"2 MB, EDO, 64 bit",75 MHz,60 MHz,1 / 0 / 1 / 1,2
STG-2000,NV1,"Sep 30th, 1995",PCI,"1 MB, FPM, 64 bit",75 MHz,50 MHz,1 / 0 / 1 / 1,2
Radeon HD 8180 IGP,Kalindi,Nov 2013,IGP,System Shared,225 MHz,System Shared,128 / 8 / 4,4
HD Graphics,Bay Trail GT1,"Sep 2nd, 2013",Ring Bus,System Shared,311 MHz,System Shared,32 / 4 / 1,4
HD Graphics 4200,Haswell GT2,"Sep 2nd, 2013",Ring Bus,System Shared,200 MHz,System Shared,160 / 20 / 2,4
Riva 128,NV3,"Apr 1st, 1997",AGP 2x,"4 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1,4
Riva 128 PCI,NV3,"Apr 1st, 1997",PCI,"4 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1,4
Playstation Portable GPU 65nm,RE+SE-65nm,"Aug 30th, 2007",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5,4
Playstation Portable GPU 90nm,RE+SE-90nm,"Dec 12th, 2004",IGP,"2 MB, eDRAM, 512 bit",133 MHz,83 MHz,2 / 1 / 5 / 5,4
Playstation Vita GPU,SGX543 MP4+,"Dec 11th, 2011",IGP,"128 MB, CDRAM, 64 bit",200 MHz,400 MHz,4 / 2 / 8 / 4,4
Radeon HD 7330M,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,5
HD Graphics 610,Kaby Lake GT1,"Aug 30th, 2016",Ring Bus,System Shared,300 MHz,System Shared,96 / 12 / 2,5
HD Graphics 610,Kaby Lake GT1,"Aug 30th, 2016",Ring Bus,System Shared,350 MHz,System Shared,96 / 12 / 2,5
HD Graphics 615,Kaby Lake GT2,"Aug 30th, 2016",Ring Bus,System Shared,300 MHz,System Shared,192 / 24 / 3,5
UHD Graphics 600,Gemini Lake GT1,"Dec 11th, 2017",Ring Bus,System Shared,200 MHz,System Shared,96 / 12 / 2,5
UHD Graphics 605,Gemini Lake GT1.5,"Dec 11th, 2017",Ring Bus,System Shared,200 MHz,System Shared,144 / 18 / 3,5
HD Graphics,Braswell GT1,"Apr 1st, 2015",Ring Bus,System Shared,500 MHz,System Shared,96 / 12 / 2,6
HD Graphics,Broadwell GT1,"Jan 5th, 2015",Ring Bus,System Shared,100 MHz,System Shared,96 / 12 / 2,6
HD Graphics 400,Braswell GT1,"Apr 1st, 2015",Ring Bus,System Shared,320 MHz,System Shared,96 / 12 / 2,6
HD Graphics 405,Braswell GT1,"Apr 1st, 2015",Ring Bus,System Shared,200 MHz,System Shared,128 / 16 / 2,6
HD Graphics 500,Apollo Lake GT1,"Sep 1st, 2015",Ring Bus,System Shared,200 MHz,System Shared,96 / 12 / 2,6
HD Graphics 505,Apollo Lake GT1.5,"Sep 1st, 2016",Ring Bus,System Shared,200 MHz,System Shared,144 / 18 / 3,6
Radeon HD 6250 IGP,Loveland,"Oct 9th, 2012",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,7
Radeon HD 6330M,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,7
Radeon HD 6350M,Robson,"Nov 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,7
Radeon HD 7350M,Robson,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",500 MHz,900 MHz,80 / 8 / 4,7
Radeon HD 7430M,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",600 MHz,800 MHz,160 / 8 / 4,7
Radeon HD 7450M,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",700 MHz,900 MHz,160 / 8 / 4,7
Mobility Radeon HD 3410,M82,"Jul 25th, 2008",MXM-II,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,40 / 4 / 4,7
Mobility Radeon HD 5430,Park,"Jan 7th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",500 MHz,800 MHz,80 / 8 / 4,7
GMA 950,Calistoga,2006,FSB,System Shared,250 MHz,System Shared,4 / 1 / 4 / 1,7
GMA 950,Lakeport,"Jun 1st, 2005",FSB,System Shared,250 MHz,System Shared,4 / 1 / 4 / 1,7
GMA 950,Lakeport,"May 1st, 2005",FSB,System Shared,166 MHz,System Shared,4 / 1 / 4 / 1,7
Radeon HD 8210 IGP,Kalindi,"Jan 31st, 2014",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,8
Radeon HD 8250 IGP,Kalindi,"May 23rd, 2013",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,8
Jetson TK1 GPU,GK20A,"Oct 15th, 2014",IGP,System Shared,756 MHz,System Shared,192 / 8 / 4,8
Radeon HD 6250 IGP,Loveland,"Apr 4th, 2012",IGP,System Shared,277 MHz,System Shared,80 / 8 / 4,9
Radeon HD 6250 IGP,Loveland,"Nov 9th, 2010",IGP,System Shared,500 MHz,System Shared,80 / 8 / 4,9
Radeon HD 6290 IGP,Loveland,"Jan 7th, 2011",IGP,System Shared,276 MHz,System Shared,80 / 8 / 4,9
Radeon HD 7490M,Seymour,"Jan 7th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",800 MHz,950 MHz,160 / 8 / 4,9
Radeon HD 8210E,Kalindi,"Apr 23rd, 2013",IGP,System Shared,300 MHz,System Shared,128 / 8 / 4,9
Mobility Radeon HD 4225 IGP,RS880,"May 1st, 2010",PCIe 1.0 x16,System Shared,380 MHz,System Shared,40 / 4 / 4,9
Radeon RX Vega 10 Mobile,Raven,"Oct 26th, 2017",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8,10
Radeon Vega 10 Mobile,Raven,"Jan 8th, 2019",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8,10
Radeon Vega 3 Embedded,Picasso,2019,IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,10
Radeon Vega 3 Embedded,Picasso,2019,IGP,System Shared,300 MHz,System Shared,192 / 12 / 4,10
Mobility Radeon HD 530v,M92,"May 5th, 2010",MXM-A (3.0),"512 MB, GDDR3, 64 bit",500 MHz,600 MHz,80 / 8 / 4,10
Mobility Radeon HD 550v,M96,"May 5th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",450 MHz,600 MHz,320 / 32 / 8,10
UHD Graphics,Jasper Lake GT1,"Jan 11th, 2021",Ring Bus,System Shared,350 MHz,System Shared,256 / 16 / 8,10
GeForce 8400M G,G86,"May 9th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,400 MHz,8 / 8 / 4,10
GeForce Go 6250,NV44,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",400 MHz,350 MHz,4 / 3 / 4 / 2,10
GeForce MX150,GP108,"May 17th, 2017",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",937 MHz,1253 MHz,384 / 24 / 16,10
GeForce MX230,GP108,"Feb 21st, 2019",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",1519 MHz,1502 MHz,256 / 16 / 16,10
GeForce MX250,GP108B,Unknown,PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",937 MHz,1502 MHz,384 / 24 / 16,10
GeForce MX330,GP108,"Feb 10th, 2020",PCIe 3.0 x4,"2 GB, GDDR5, 64 bit",1531 MHz,1752 MHz,384 / 24 / 16,10
Jetson Nano GPU,GM20B,Mar 2019,IGP,System Shared,640 MHz,System Shared,128 / 16 / 16,10
Quadro NVS 110M,G72,"Jun 1st, 2006",PCIe 1.0 x16,"512 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 3 / 4 / 2,10
