name,gpu_chip,released,bus,memory,gpu_clock,memory_clock,shaders/TMUs/ROPs,TDP
Atom Z500,Silverthorne,1,800 MHz,BGA 441,45 nm,N/A,1 W,1
Atom Z515,Silverthorne,1,1200 MHz,BGA 441,45 nm,N/A,1 W,1
Atom Z600,Lincroft,1,1200 MHz,BGA 518,45 nm,N/A,1 W,1
Atom Z610,Lincroft,1,800 MHz,BGA 518,45 nm,N/A,1 W,1
Atom Z612,Lincroft,1,900 MHz,BGA 518,45 nm,N/A,1 W,1
Atom Z620,Lincroft,1,900 MHz,BGA 518,45 nm,N/A,1 W,1
Atom Z3735G,Bay Trail-T,4,1333 to 1833 MHz,BGA 592,22 nm,N/A,2 W,2
Atom Z3740,Bay Trail-T,4,1333 to 1867 MHz,BGA 1380,22 nm,N/A,2 W,2
Atom Z510,Silverthorne,1,1100 MHz,BGA 441,45 nm,N/A,2 W,2
Atom Z510P,Silverthorne,1  / 2,1100 MHz,BGA 437,45 nm,N/A,2 W,2
Atom Z510PT,Silverthorne,1  / 2,1100 MHz,BGA 437,45 nm,N/A,2 W,2
Atom Z520,Silverthorne,1  / 2,1334 MHz,BGA 441,45 nm,N/A,2 W,2
Atom Z520PT,Silverthorne,1  / 2,1334 MHz,BGA 437,45 nm,N/A,2 W,2
Atom Z530,Silverthorne,1  / 2,1600 MHz,BGA 441,45 nm,N/A,2 W,2
Atom Z530P,Silverthorne,1  / 2,1600 MHz,BGA 437,45 nm,N/A,2 W,2
Atom Z540,Silverthorne,1  / 2,1867 MHz,BGA 441,45 nm,N/A,2 W,2
Atom Z550,Silverthorne,1  / 2,2000 MHz,BGA 441,45 nm,N/A,2 W,2
Atom Z560,Silverthorne,1  / 2,2.133 GHz,BGA 441,45 nm,N/A,2 W,2
Atom Z605,Lincroft,1,1000 MHz,BGA 518,45 nm,N/A,2 W,2
Atom Z615,Lincroft,1,1600 MHz,BGA 518,45 nm,N/A,2 W,2
Atom Z625,Lincroft,1,1900 MHz,BGA 518,45 nm,N/A,2 W,2
Atom x3-3205RK,Silvermont,4,1200 MHz,,28 nm,N/A,2 W,2
A100,Stealey,1,600 MHz,BGA 437,90 nm,N/A,3 W,3
A110,Stealey,1,800 MHz,BGA 437,90 nm,N/A,3 W,3
Atom E620,Tunnel Creek,1  / 2,600 MHz,BGA 676,45 nm,N/A,3 W,3
Atom E620T,Tunnel Creek,1  / 2,600 MHz,BGA 676,45 nm,N/A,3 W,3
Atom E625C,Stellarton,1  / 2,600 MHz,BGA 1466,45 nm,N/A,3 W,3
Atom E625CT,Stellarton,1  / 2,600 MHz,BGA 1466,45 nm,N/A,3 W,3
Atom E640,Tunnel Creek,1  / 2,1000 MHz,BGA 676,45 nm,N/A,3 W,3
Atom E640T,Tunnel Creek,1  / 2,1000 MHz,BGA 676,45 nm,N/A,3 W,3
Atom E660,Tunnel Creek,1  / 2,1300 MHz,BGA 676,45 nm,N/A,3 W,3
Atom E660T,Tunnel Creek,1  / 2,1300 MHz,BGA 676,45 nm,N/A,3 W,3
Atom N270,Diamondville,1  / 2,1600 MHz,BGA 437,45 nm,N/A,3 W,3
Atom N280,Diamondville,1  / 2,1667 MHz,BGA 437,45 nm,N/A,3 W,3
Atom Z2420,Penwell,1,1200 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2460,Penwell,1,1300 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2480,Penwell,1,1400 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2520,Clovertrail,2,1200 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2560,Clovertrail,2,1600 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2580,Clovertrail,2,2000 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z2760,Cloverview,2,1800 MHz,BGA 617,32 nm,N/A,3 W,3
Atom Z650,Lincroft,1,1200 MHz,BGA 518,45 nm,N/A,3 W,3
Atom Z670,Lincroft,1,1500 MHz,BGA 518,45 nm,N/A,3 W,3
A4-1200,Temash,2,1000 MHz,Socket FT3,28 nm,N/A,4 W,4
Atom 230,Diamondville,1  / 2,1600 MHz,BGA 437,45 nm,N/A,4 W,4
Atom E645C,Stellarton,1  / 2,1000 MHz,BGA 1466,45 nm,N/A,4 W,4
Atom E645CT,Stellarton,1  / 2,1000 MHz,BGA 1466,45 nm,N/A,4 W,4
Atom E665C,Stellarton,1  / 2,1300 MHz,BGA 1466,45 nm,N/A,4 W,4
Atom E680,Tunnel Creek,1  / 2,1600 MHz,BGA 676,45 nm,N/A,4 W,4
Atom E680T,Tunnel Creek,1  / 2,1600 MHz,BGA 676,45 nm,N/A,4 W,4
Atom N2600,Cedarview,2  / 4,1600 MHz,BGA 559,32 nm,N/A,4 W,4
Celeron N2805,Bay Trail-M,2,1463 MHz,BGA 1170,22 nm,N/A,4 W,4
Celeron N2806,Bay Trail-M,2,1.58 to 2 GHz,BGA 1170,22 nm,N/A,4 W,4
Celeron N2807,Bay Trail-M,2,1.58 to 2.16 GHz,BGA 1170,22 nm,N/A,4 W,4
Celeron N2808,Bay Trail-M,2,1.58 to 2.25 GHz,BGA 1170,22 nm,N/A,4 W,4
Z-60,Hondo,2,1000 MHz,Socket FT1,40 nm,N/A,5 W,5
Atom E3815,Bay Trail-I,1,1467 MHz,BGA 1170,22 nm,N/A,5 W,5
Core 2 Solo ULV SU3300,Penryn-L,1,1200 MHz,BGA 956,45 nm,N/A,5 W,5
Core 2 Solo ULV SU3500,Penryn-L,1,1400 MHz,BGA 956,45 nm,N/A,5 W,5
Core 2 Solo ULV U2100,Merom-L,1,1067 MHz,BGA 956,65 nm,N/A,5 W,5
Core 2 Solo ULV U2200,Merom-L,1,1200 MHz,BGA 956,65 nm,N/A,5 W,5
